date,count
2013-07-01,147
2013-07-02,325
2013-07-03,337
2013-07-04,135
2013-07-05,282
2013-07-06,205
2013-07-07,367
2013-07-08,528
2013-07-09,810
2013-07-10,720
2013-07-11,841
2013-07-12,660
2013-07-13,529
2013-07-14,561
2013-07-15,1362
2013-07-16,2077
2013-07-17,2997
2013-07-18,3773
2013-07-19,3678
2013-07-20,4282
2013-07-21,4099
2013-07-22,5899
2013-07-23,6709
2013-07-24,6488
2013-07-25,6741
2013-07-26,6851
2013-07-27,5035
2013-07-28,4468
2013-07-29,31989
2013-07-30,36641
2013-07-31,33175
2013-08-01,34498
2013-08-02,36141
2013-08-03,20892
2013-08-04,8926
2013-08-05,32684
2013-08-06,36455
2013-08-07,31008
2013-08-08,25430
2013-08-09,26451
2013-08-10,18862
2013-08-11,8239
2013-08-12,29923
2013-08-13,30053
2013-08-14,32455
2013-08-15,30343
2013-08-16,32702
2013-08-17,15262
2013-08-18,7752
2013-08-19,31039
2013-08-20,34047
2013-08-21,30111
2013-08-22,32735
2013-08-23,34354
2013-08-24,19802
2013-08-25,8137
2013-08-26,31817
2013-08-27,36380
2013-08-28,30358
2013-08-29,35740
2013-08-30,34651
2013-08-31,21033
2013-09-01,8301
2013-09-02,5905
2013-09-03,36482
2013-09-04,34862
2013-09-05,33237
2013-09-06,32724
2013-09-07,23761
2013-09-08,9241
2013-09-09,32994
2013-09-10,35989
2013-09-11,31462
2013-09-12,35540
2013-09-13,36991
2013-09-14,23707
2013-09-15,9178
2013-09-16,33278
2013-09-17,37835
2013-09-18,35479
2013-09-19,32304
2013-09-20,32612
2013-09-21,25665
2013-09-22,9127
2013-09-23,31641
2013-09-24,35485
2013-09-25,32378
2013-09-26,30406
2013-09-27,29735
2013-09-28,24622
2013-09-29,9225
2013-09-30,36522
2013-10-01,40664
2013-10-02,36154
2013-10-03,41359
2013-10-04,38707
2013-10-05,25455
2013-10-06,10297
2013-10-07,33788
2013-10-08,41104
2013-10-09,37058
2013-10-10,37819
2013-10-11,36743
2013-10-12,20327
2013-10-13,7570
2013-10-14,22010
2013-10-15,29947
2013-10-16,29112
2013-10-17,33333
2013-10-18,38358
2013-10-19,24266
2013-10-20,10010
2013-10-21,35434
2013-10-22,38700
2013-10-23,34479
2013-10-24,38478
2013-10-25,34520
2013-10-26,24787
2013-10-27,9794
2013-10-28,35431
2013-10-29,38590
2013-10-30,33859
2013-10-31,34680
2013-11-01,31801
2013-11-02,24309
2013-11-03,7871
2013-11-04,35162
2013-11-05,25968
2013-11-06,35710
2013-11-07,36521
2013-11-08,38486
2013-11-09,25061
2013-11-10,9525
2013-11-11,23725
2013-11-12,36630
2013-11-13,34838
2013-11-14,39266
2013-11-15,37374
2013-11-16,23324
2013-11-17,8833
2013-11-18,34125
2013-11-19,38541
2013-11-20,34471
2013-11-21,35718
2013-11-22,35606
2013-11-23,24688
2013-11-24,8700
2013-11-25,33104
2013-11-26,33871
2013-11-27,23175
2013-11-28,4390
2013-11-29,46024
2013-11-30,21214
2013-12-01,8995
2013-12-02,27617
2013-12-03,32546
2013-12-04,29433
2013-12-05,32070
2013-12-06,26711
2013-12-07,21555
2013-12-08,9293
2013-12-09,27408
2013-12-10,19406
2013-12-11,30111
2013-12-12,33050
2013-12-13,32563
2013-12-14,12300
2013-12-15,7783
2013-12-16,29146
2013-12-17,17855
2013-12-18,29012
2013-12-19,33045
2013-12-20,31564
2013-12-21,22464
2013-12-22,8703
2013-12-23,26362
2013-12-24,30762
2013-12-25,3015
2013-12-26,33719
2013-12-27,31536
2013-12-28,20704
2013-12-29,6801
2013-12-30,28918
2013-12-31,29571
2014-01-01,5114
2014-01-02,28065
2014-01-03,1281
2014-01-04,3566
2014-01-05,3947
2014-01-06,29841
2014-01-07,25671
2014-01-08,33279
2014-01-09,39989
2014-01-10,33913
2014-01-11,24657
2014-01-12,10619
2014-01-13,36779
2014-01-14,34597
2014-01-15,34417
2014-01-16,40414
2014-01-17,38840
2014-01-18,25257
2014-01-19,9749
2014-01-20,27179
2014-01-21,10965
2014-01-22,4856
2014-01-23,22437
2014-01-24,27371
2014-01-25,18152
2014-01-26,7319
2014-01-27,28872
2014-01-28,34763
2014-01-29,23310
2014-01-30,30631
2014-01-31,24556
2014-02-01,21644
2014-02-02,6987
2014-02-03,8623
2014-02-04,29447
2014-02-05,11774
2014-02-06,29644
2014-02-07,32335
2014-02-08,21876
2014-02-09,9835
2014-02-10,28894
2014-02-11,33430
2014-02-12,33503
2014-02-13,3605
2014-02-14,11813
2014-02-15,5516
2014-02-16,6198
2014-02-17,25553
2014-02-18,25228
2014-02-19,28713
2014-02-20,33237
2014-02-21,30270
2014-02-22,24385
2014-02-23,9934
2014-02-24,37542
2014-02-25,39872
2014-02-26,29837
2014-02-27,38419
2014-02-28,35258
2014-03-01,25899
2014-03-02,10275
2014-03-03,28439
2014-03-04,39879
2014-03-05,33503
2014-03-06,40640
2014-03-07,38806
2014-03-08,25447
2014-03-09,9890
2014-03-10,35356
2014-03-11,36208
2014-03-12,30216
2014-03-13,34454
2014-03-14,35197
2014-03-15,23764
2014-03-16,8055
2014-03-17,31055
2014-03-18,37282
2014-03-19,32992
2014-03-20,38807
2014-03-21,38452
2014-03-22,23840
2014-03-23,9245
2014-03-24,35229
2014-03-25,37566
2014-03-26,34153
2014-03-27,36645
2014-03-28,34302
2014-03-29,20783
2014-03-30,8815
2014-03-31,31390
2014-04-01,38047
2014-04-02,33221
2014-04-03,37548
2014-04-04,33864
2014-04-05,22017
2014-04-06,10013
2014-04-07,32910
2014-04-08,36731
2014-04-09,34785
2014-04-10,38020
2014-04-11,33250
2014-04-12,24447
2014-04-13,8871
2014-04-14,29982
2014-04-15,26744
2014-04-16,28929
