date,count
2014-07-01,41014
2014-07-02,36191
2014-07-03,39742
2014-07-04,5513
2014-07-05,20286
2014-07-06,9263
2014-07-07,39529
2014-07-08,40778
2014-07-09,37200
2014-07-10,40198
2014-07-11,38602
2014-07-12,25706
2014-07-13,9705
2014-07-14,36163
2014-07-15,36692
2014-07-16,34795
2014-07-17,39269
2014-07-18,36554
2014-07-19,23684
2014-07-20,9974
2014-07-21,35787
2014-07-22,41039
2014-07-23,36718
2014-07-24,41194
2014-07-25,38796
2014-07-26,23625
2014-07-27,9303
2014-07-28,29676
2014-07-29,35192
2014-07-30,36498
2014-07-31,41026
2014-08-01,38886
2014-08-02,21408
2014-08-03,9250
2014-08-04,38132
2014-08-05,40240
2014-08-06,37860
2014-08-07,40943
2014-08-08,37608
2014-08-09,21499
2014-08-10,8923
2014-08-11,32172
2014-08-12,34827
2014-08-13,31945
2014-08-14,39621
2014-08-15,31775
2014-08-16,21140
2014-08-17,9056
2014-08-18,33887
2014-08-19,36694
2014-08-20,33047
2014-08-21,36461
2014-08-22,34803
2014-08-23,21874
2014-08-24,9728
2014-08-25,33188
2014-08-26,37343
2014-08-27,33768
2014-08-28,37923
2014-08-29,36334
2014-08-30,22751
2014-08-31,8409
2014-09-01,7679
2014-09-02,39942
2014-09-03,37692
2014-09-04,44801
2014-09-05,46258
2014-09-06,26198
2014-09-07,12222
2014-09-08,46028
2014-09-09,47775
2014-09-10,46217
2014-09-11,47853
2014-09-12,48541
2014-09-13,26891
2014-09-14,10943
2014-09-15,46221
2014-09-16,41293
2014-09-17,44119
2014-09-18,48707
2014-09-19,46822
2014-09-20,24802
2014-09-21,7030
2014-09-22,38848
2014-09-23,39335
2014-09-24,35377
2014-09-25,26074
2014-09-26,31114
2014-09-27,21524
2014-09-28,9441
2014-09-29,38291
2014-09-30,41389
2014-10-01,37837
2014-10-02,43331
2014-10-03,41540
2014-10-04,17681
2014-10-05,9479
2014-10-06,36397
2014-10-07,41873
2014-10-08,40549
2014-10-09,37999
2014-10-10,35412
2014-10-11,21499
2014-10-12,9302
2014-10-13,21063
2014-10-14,44199
2014-10-15,38033
2014-10-16,30933
2014-10-17,35866
2014-10-18,21413
2014-10-19,9629
2014-10-20,39219
2014-10-21,41417
2014-10-22,31537
2014-10-23,30574
